person,group
Lincoln.Amos,TeaParty
Loring.Matthew,TeaParty
Machin.Thomas,TeaParty
MacKintosh.Capt,TeaParty
MacNeil.Archibald,TeaParty
May.John,TeaParty
Melville.Thomas,TeaParty
Molineux.William,TeaParty
Moore.Thomas,TeaParty
Morse.Anthony,TeaParty
Mountford.Joseph,TeaParty
Newell.Eliphelet,TeaParty
Palmer.Joseph,TeaParty
Parker.Jonathan,TeaParty
Payson.Joseph,TeaParty
Peck.Samuel,TeaParty
Peters.John,TeaParty
Pierce.William,TeaParty
Pitts.Lendall,TeaParty
Porter.Thomas,TeaParty
Prentiss.Henry,TeaParty
Prince.John,TeaParty
Proctor.Edward,TeaParty
Purkitt.Henry,TeaParty
Randall.John,TeaParty
Revere.Paul,TeaParty
Roby.Joseph,TeaParty
Russell.John,TeaParty
Russell.William,TeaParty
Sessions.Robert,TeaParty
Shed.Joseph,TeaParty
Simpson.Benjamin,TeaParty
Slater.Peter,TeaParty
Spear.Thomas,TeaParty
Sprague.Samuel,TeaParty
Spurr.John,TeaParty
Starr.James,TeaParty
Stearns.Phineas,TeaParty
Stevens.Ebenezer,TeaParty
Story.Elisha,TeaParty
Swan.James,TeaParty
Urann.Thomas,TeaParty
Wheeler.Josiah,TeaParty
Williams.Jeremiah,TeaParty
Williams.Thomas,TeaParty
Willis.Nathaniel,TeaParty
Wyeth.Joshua,TeaParty
Young.Thomas,TeaParty
Adams.Samuel,BostonCommittee
Appleton.Nathaniel,BostonCommittee
Barber.Nathaniel,BostonCommittee
Boynton.Richard,BostonCommittee
Bradford.John,BostonCommittee
Church.Benjamin,BostonCommittee
Davis.Caleb,BostonCommittee
Dennie.William,BostonCommittee
Greenleaf.Joseph,BostonCommittee
Greenleaf.William,BostonCommittee
Hill.Alexander,BostonCommittee
Mackay.William,BostonCommittee
Molineux.William,BostonCommittee
Otis.James,BostonCommittee
Pierpont.Robert,BostonCommittee
Powell.William,BostonCommittee
Quincy.Josiah,BostonCommittee
Sweetser.John,BostonCommittee
Warren.Joseph,BostonCommittee
Wendell.Oliver,BostonCommittee
Young.Thomas,BostonCommittee
Adams.Samuel,LondonEnemies
Austin.Benjamin,LondonEnemies
Austin.Samuel,LondonEnemies
Avery.John,LondonEnemies
Baldwin.Cyrus,LondonEnemies
Barber.Nathaniel,LondonEnemies
Barrett.Samuel,LondonEnemies
Bass.Henry,LondonEnemies
Boyer.Peter,LondonEnemies
Boynton.Richard,LondonEnemies
Brackett.Jos,LondonEnemies
Bradford.John,LondonEnemies
Brimmer.Herman,LondonEnemies
Brimmer.Martin,LondonEnemies
Broomfield.Henry,LondonEnemies
Brown.Enoch,LondonEnemies
Brown.John,LondonEnemies
Chase.Thomas,LondonEnemies
Cheever.Ezekiel,LondonEnemies
Church.Benjamin,LondonEnemies
